location,event,date,artist
Lucerne,BLUE BALLS,2013-07-20,SPIN DOCTORS
Lucerne,BLUE BALLS,2013-07-20,ANE BRUN
Lucerne,BLUE BALLS,2013-07-20,DAVID CELIA
Geneve,FETES DE GENEVE,2013-07-20,DJ FABRICE
Zurich,LIVE AT SUNSET,2013-07-20,MARK KNOPFLER
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-20,ALEJANDRO REYES
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-20,LA VELLE
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-20,DELUXE
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-20,DIRTY SOUND MAGNET
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-20,DJ REAS
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-20,GYPSY SOUND SYSTEM
Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2013-07-20,FRANCOIS XAVIER POIZAT
