festival,location,date,artist
ANTIGEL,Geneve,2017-Jan.-27,ZERO
ANTIGEL,Geneve,2017-Jan.-28,MAY B (MAGUY MARIN)
ANTIGEL,Vernier,2016-Jan.-29,MYKKI BLANCO
ANTIGEL,Vernier,2016-Jan.-30,BRODINSKI
ANTIGEL,Geneve,2016-Jan.-31,JUNIP (JOSE GONZALEZ)
ANTIGEL,Geneve,2016-Fev.-01,BALTHAZAR
ANTIGEL,Confignon,2016-Fev.-01,KNOR
ANTIGEL,Le Lignon,2016-Fev.-02,MICHAEL CHAPMAN
ANTIGEL,Confignon,2016-Fev.-02,COM TRUISE
ANTIGEL,Carouge,2016-Fev.-03,BRUCE BRUBAKER
ANTIGEL,Satigny,2016-Fev.-03,SAM AMIDON
ANTIGEL,Geneve,2016-Fev.-03,SPOEK MATHAMBO
ANTIGEL,Vernier,2016-Fev.-04,DAN SHAKE
ANTIGEL,Collonge Bellerive,2016-Fev.-04,JUNIUS MEYVANT
ANTIGEL,Bellevue,2016-Fev.-05,YE VAGABONDS
ANTIGEL,Vernier,2016-Fev.-05,ANGEL HAZE
ANTIGEL,Geneve,2016-Fev.-06,MARIANNE FAITHFULL
ANTIGEL,Geneve,2016-Fev.-07,GENEVA CAMERATA
ANTIGEL,Collonge Bellerive,2016-Fev.-07,LEE RANALDO
ANTIGEL,Confignon,2016-Fev.-08,CARD ON SPOKES
ANTIGEL,Confignon,2016-Fev.-09,THROWING SNOW
ANTIGEL,Geneve,2016-Fev.-09,JACCO GARDNER
ANTIGEL,Geneve,2016-Fev.-10,NICOLAS GODIN
ANTIGEL,Le Lignon,2016-Fev.-11,ZITA SWOON
ANTIGEL,Geneve,2016-Fev.-11,THE TALLEST MAN ON EARTH
ANTIGEL,Le Lignon,2016-Fev.-12,ZITA SWOON
ANTIGEL,Bernex,2016-Fev.-12,LYNCHED
ANTIGEL,Geneve,2016-Fev.-13,PHILIP GLASS
ANTIGEL,Geneve,2016-Fev.-13,TORTOISE
ANTIGEL,Vernier,2016-Fev.-13,CASSY
ANTIGEL,Geneve,2016-Fev.-14,PHILIP GLASS
ANTIGEL,Vernier,2016-Fev.-14,JEFF MILLS
ANTIGEL,Carouge,2015-Jan.-23,AL KENT
ANTIGEL,Chene Bougeries,2015-Jan.-24,LUBOMYR MELNYK
ANTIGEL,Carouge,2015-Jan.-24,MOGWAI
ANTIGEL,Geneve,2015-Jan.-24,WASULU SELECTA
ANTIGEL,Carouge,2015-Jan.-24,ORAM MODULAR
ANTIGEL,Geneve,2015-Jan.-25,FINK
ANTIGEL,Confignon,2015-Jan.-26,STEWART WALKER
ANTIGEL,Chene Bourg,2015-Jan.-27,PIERRE BASTIEN
